Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Pseudacris maculata,1,605.8655396,4.378620148,-4.906816959,312.210144,15.94861221,154.5450439,176.1934357,188.9757843,100.6960297,58.13410568,51.1448288,4.751661301,14.22058487,3.147142649,-4.60891819,20.85085869
Pseudacris maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,1,638.5870972,4.021032333,-5.161915302,293.4915161,15.59307957,149.0057068,166.0569305,188.3586884,133.7563019,58,53.16259003,4.338319778,13.82134247,2.772754431,-4.862010479,20.78318405
Pseudacris maculata,1,619.9862671,4.151024818,-5.083780766,289.4077454,15.73320103,150.5076141,162.9386139,184.6516266,126.1697464,57.66225815,54.3667717,4.451108932,13.9501915,2.934016466,-4.784047127,20.83384705
Pseudacris maculata,1,781.8632813,3.680981159,-5.190987587,355.7277832,15.20110226,153.2700653,203.0437164,233.0344391,163.4582062,60.99783325,42.78659058,3.899707794,13.50279903,2.437530518,-5.09586525,20.45603371
Pseudacris maculata,1,795.8970337,3.715649605,-5.200240135,359.4691772,15.28884888,155.6613617,204.1924286,237.8339081,166.8312836,61.88406754,42.49942398,3.988004446,13.58985901,2.484857798,-5.088044167,20.4118824
Pseudacris maculata,1,689.3616943,4.146657944,-5.161049843,290.7341309,15.81606579,157.7403564,169.1253204,184.7788849,174.702179,60.13273621,54.41947937,4.605062485,14.1229372,2.905840158,-4.948536396,20.96451569
Pseudacris maculata,1,811.0789795,3.950288057,-5.305553913,300.9804382,15.55379677,157,171.9593048,214.6424713,226.8766632,60.99968338,51.7578392,4.350268841,13.94456005,2.653794289,-5.053310394,20.85732079
Pseudacris maculata,1,1248.153564,3.00570488,-5.859066963,369.2611694,14.50980568,151.4367065,197.8001862,333.7972717,409.0971375,64.56169891,39.22402191,3.209710836,12.80533028,1.643656492,-5.711397648,20.36619377
Pseudacris maculata,1,728.6137085,4.149182796,-5.322509766,270.2848511,15.68923187,154.7554626,158.9532318,182.5632477,202.8039856,58.29452896,58.13823318,4.647144794,14.09067917,2.88903141,-5.01273632,21.05894089
Pseudacris maculata,1,1125.685425,3.942125797,-5.313286304,343.104187,15.48838711,152.6411133,188.7184601,304.0861511,362.894165,59.07664108,45.24889755,4.190404892,13.85476875,2.756965637,-5.107664585,20.79596901
Pseudacris maculata,1,713.3622437,4.117184162,-5.273260593,279.8999939,15.52719879,155.937973,162.7180176,186.119751,183.3449554,59.90356064,55.36211014,4.526819706,13.92668152,2.727381468,-4.871912003,20.77522659
Pseudacris maculata,1,784.7855835,3.900700808,-5.438189507,293.8508911,15.31352806,154.9602509,168.8648376,204.5753784,210.6723022,60.62237549,52.20019531,4.29850769,13.76181412,2.561399937,-5.05300045,20.72421646
Pseudacris maculata,1,867.2685547,3.615890026,-5.686655045,312.326416,14.84603786,150.1771698,177.8789368,241.3605347,235.7713776,61,47.42999268,4.046803474,13.34708214,2.245669603,-5.286046982,20.52766609
Pseudacris maculata,1,558.4539185,4.209523678,-5.300000191,295.8740845,15.30632782,157.0622864,176.9377747,150.9103394,104.7016907,58,51.80118561,4.706367493,14.00981617,3.206308842,-5.019112587,20.60625648
Pseudacris maculata,1,655.0962524,5.321917057,-4.26248312,220.8432159,16.8481617,164,123.9740219,159.8605652,199.2472839,57.16391754,76.64421844,5.401991844,15.20107555,4.42128849,-3.862980127,21.11420441
Pseudacris maculata,1,476.7225037,4.783434391,-4.927173615,270.6222229,16.07646942,160.9607239,160.5098877,134.1251678,79.60093689,56.03477097,59.40942764,5.290866375,14.7647028,3.889876842,-4.70786047,20.99651146
Pseudacris maculata,1,622.5161133,4.634737492,-4.857689381,288.8821411,15.83111382,162.9689178,170.6387024,166.5789795,139.631073,58.62971115,54.64480209,5.135151386,14.44149113,3.540310144,-4.596731663,20.63479614
Pseudacris maculata,1,635.3044434,4.67982626,-4.712254047,278.7676086,15.88469696,165.1562042,163.296814,169.5132446,146.7953796,60,57.00498962,5.179545403,14.44344044,3.476768494,-4.41503191,20.60000038
Pseudacris maculata,1,693.0122681,4.191926956,-5.299530506,309.4228516,15.30768108,158.4430542,181.2133179,189.8639221,161.5668945,59.50897217,49.45328903,4.693443298,13.95181084,3.151663542,-5.006587505,20.60730362
