Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Pseudacris maculata,1,327.1572266,4.099999905,-11.77193737,232.0145111,18.89999962,162,164.0344696,74,32,53,81.3836441,4.701467037,17.5012207,4.5,-10.47423172,30.67423248
Pseudacris maculata,1,327.2587585,4.099999905,-11.77183914,232.914917,18.89999962,162,164.6212463,74,32,53,81.35318756,4.765545845,17.56374359,4.5,-10.47412395,30.6716423
Pseudacris maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,1,329.9619141,4.099999905,-11.5929575,232,18.80411339,162,163.0770721,75,32,53,81.09716034,4.800000191,17.47451973,4.5,-10.29838753,30.40353775
Pseudacris maculata,1,329.1744995,4.199999809,-11.39999962,231.0081329,18.79361153,162,162.1545563,75.10301971,33,53,81.09060669,4.800000191,17.39999962,4.599999905,-10.09919834,30.18248367
Pseudacris maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,1,329,4.099999905,-11.58170605,233,18.79999924,162,164,75,32,53,80.80469513,4.723276138,17.39999962,4.5,-10.27986717,30.38015366
Pseudacris maculata,1,329.2047424,4.099999905,-11.56448746,232.7990417,18.79999924,162,164,75,32,53,80.90420532,4.800000191,17.39999962,4.5,-10.28207016,30.38237762
Pseudacris maculata,1,348.0418396,6.5,-5.531030178,256.1140747,19.20000076,176.9573975,161,98.04262543,22,53,74.98859406,6.900000095,17.89999962,6.155897617,-5,24.79999924
Pseudacris maculata,1,329,4.099999905,-11.46918392,233,18.79999924,162,164.2450714,74.75508118,32,53,80.59246826,4.747096539,17.39999962,4.5,-10.19999981,30.2682457
Pseudacris maculata,1,329,4.099999905,-11.39999962,233,18.79999924,162,164.7645721,74.23543549,32,53,80.50602722,4.800000191,17.39999962,4.5,-10.16217518,30.19112396
Pseudacris maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris maculata,1,329.207428,4.108148098,-11.39999962,233,18.79273033,162,164,75,32,53,80.52300262,4.800000191,17.39999962,4.5,-10.15102005,30.16451263
Pseudacris maculata,1,325.2929993,3.900000095,-11.63609505,233.3165588,18.68135643,160.7070007,167,72,31,54,79.91384125,4.5,17.29999924,4.368159771,-10.48151207,30.33677483
Pseudacris maculata,1,330.0652771,4.199999809,-11.30000019,233,18.70000076,162,163.9129333,75.15292358,32,53,80.31529236,4.800000191,17.39999962,4.599999905,-10,30
Pseudacris maculata,1,326.1752014,3.900000095,-11.63380241,234,18.62506866,160,167.2653351,72,31,54,79.68829346,4.5,17.29999924,4.300000191,-10.43474102,30.30805969
Pseudacris maculata,1,348,6.399397373,-5.599583149,255.0551605,19.08836937,174.9957275,160,98,23.00425529,53,74.60983276,6.788924217,17.7851429,6,-5,24.60643959
Pseudacris maculata,1,329,4.114880562,-11.34808064,233,18.70000076,162,164.8722992,74.38076782,32,53.38082504,80.32369995,4.764652729,17.36305809,4.5,-10.10000038,30.04817581
Pseudacris maculata,1,343.9423523,4.5,-10.26489353,237.0040588,18.60000038,164,163,82.96778107,36,54,78.40776062,5.002747536,17.20000076,4.800000191,-9,28.8663578
Pseudacris maculata,1,333.9938965,3.900000095,-11.51948929,240.118988,18.50810814,160,171.1567688,73.91958618,31.91405678,54,77.0151062,4.499604225,17.20101166,4.300000191,-10.39465904,30.10416222
Pseudacris maculata,1,330.9206543,3.900000095,-11.60000038,238.0737152,18.58424568,160,170.0332031,73.02528381,31.02408791,54,77.89949036,4.5,17.20000076,4.300000191,-10.39800835,30.10976982
Pseudacris maculata,1,330.0428467,4.199999809,-11.19999981,233,18.70000076,162,163,76.04318237,32,53,80.45666504,4.809884548,17.39999962,4.599999905,-9.899999619,29.89999962
Pseudacris maculata,1,329.3018799,3.900000095,-11.49887466,236.4654846,18.50231171,160,169.0829163,73.00829315,31.00805855,54,78.22927856,4.5,17.20000076,4.300000191,-10.3025713,30.00936699
