Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Pseudacris maculata,1,449.8825684,0.800000012,-18.79999924,301,18.39999962,147,211.0088348,78,50,60,61.20549774,2.400000095,16.79999924,0.510561347,-16.60000038,37.20000076
Pseudacris maculata,1,527.5672607,3.299999952,-14.60000038,356.1127319,19.20000076,161,240,121,59,59,53.88878632,4.5,18.10000038,3.5,-12.89999962,33.79999924
Pseudacris maculata,1,525.2565918,3.342658043,-14.54868221,355.1738892,19.20000076,161.8105316,240,120.9750595,58.18917465,59,54.12530899,4.583009243,18.10000038,3.5,-12.84836864,33.79999924
Pseudacris maculata,1,523.8270874,3.400000095,-14.5,355,19.24688339,162,239,121.5515671,58,58.94319534,54.25284958,4.599999905,18.19896126,3.599999905,-12.80000019,33.79999924
Pseudacris maculata,1,521.9197998,3.400000095,-14.5,354.9191589,19.29999924,162,239,120.922699,57.5201683,58.17992783,54.40000153,4.599999905,18.20000076,3.599999905,-12.80000019,33.79999924
Pseudacris maculata,1,519.8498535,3.497256041,-14.5,353.4181519,19.31597519,162,238.9178467,119.4748993,57,58,54.72121048,4.699999809,18.2967968,3.697574139,-12.80000019,33.79999924
Pseudacris maculata,1,525.9266968,3.306604862,-14.60000038,355.5469055,19.20000076,161.443161,240,120,58.02385712,59,54.1072731,4.55336237,18.10654449,3.5,-12.89999962,33.79999924
Pseudacris maculata,1,520.3730469,3.400000095,-14.5,354,19.29999924,162,239,120,57,59,54.52135849,4.621776104,18.20000076,3.599999905,-12.80000019,33.79999924
Pseudacris maculata,1,519.9375,3.408293486,-14.5,353.3076782,19.30848885,162,238,120,57,58.98490906,54.74335098,4.698261261,18.27142715,3.66742897,-12.80000019,33.90000153
Pseudacris maculata,1,512.6616821,3.900000095,-14.10000038,348.6622314,19.70000076,163,234,120.1668015,55,58,56.47761536,5.099999905,18.70000076,4.099999905,-12.3377161,33.79999924
Pseudacris maculata,1,518,3.5,-14.54586887,351,19.39999962,162,236.8466949,119,57,58,55.29309845,4.699999809,18.29999924,3.700000048,-12.80000019,34
Pseudacris maculata,1,518.2640991,3.599999905,-14.46201515,352,19.5,162,237,120,57,58,55.37363052,4.800000191,18.39999962,3.799999952,-12.69999981,33.90000153
Pseudacris maculata,1,517.1383667,3.599999905,-14.5,350.7762146,19.5,162,236.1485443,120,56.16353989,58,55.61372757,4.800000191,18.39999962,3.799999952,-12.69999981,34
Pseudacris maculata,1,516.7766724,3.700000048,-14.30000019,350.6672668,19.60000038,163,235,120.1231232,56,58,55.92218781,5,18.58023262,4,-12.60000038,33.90000153
Pseudacris maculata,1,515.708374,3.599999905,-14.5,349.1945801,19.57966995,162,236,118.5479126,56,58,55.98065186,4.900000095,18.5,3.900000095,-12.69999981,34
Pseudacris maculata,1,518.3733521,3.403067589,-14.70455837,352.8878479,19.49353409,161,239,117.972908,56.51977158,58,55.13311386,4.699999809,18.30313301,3.700000048,-12.97216034,34.20000076
Pseudacris maculata,1,517.3143921,3.299999952,-14.90295696,354.9580688,19.38658905,160.7141876,241.0529785,116.0529861,55,58,54.58874512,4.599999905,18.20000076,3.5,-13.19999981,34.29999924
