Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Anaxyrus hemiophrys,1,413.9188538,2.599999905,-12.39999962,283.8755493,16.79999924,158,205.9088745,87,48.09048462,57.53453064,59.27983475,3.187134027,15.68735504,3.099999905,-11.3981123,29.20000076
Anaxyrus hemiophrys,1,412.1149292,2.699744701,-12.18852615,281.111969,16.79999924,158.0602875,204.1346436,86,49,58,59.77080154,3.200000048,15.60000038,3.099999905,-11.28668213,28.98696327
Anaxyrus hemiophrys,1,432.0468445,2.891673326,-11.25356293,294.1456299,16.60000038,158,213.2344513,91,52,58,56.40219116,3.280160189,15.39999962,3.200000048,-10.42148972,27.86253929
Anaxyrus hemiophrys,1,423.1271057,2.728679895,-11.66897488,288.1200867,16.60000038,159,210.1218414,87,52,58,57.57275009,3.200000048,15.39999962,3.200000048,-10.79004192,28.27589035
Anaxyrus hemiophrys,1,424,2.799999952,-11.58137703,289.1753235,16.60000038,159,211.0303802,87,52,58,57.38188553,3.200000048,15.39999962,3.200000048,-10.69698524,28.18169022
Anaxyrus hemiophrys,1,424.0429993,2.799999952,-11.59498215,290,16.60000038,159,211.2628326,87,52,58,57.32926941,3.200000048,15.39999962,3.200000048,-10.69549561,28.19107056
Anaxyrus hemiophrys,1,425.6960449,2.89939332,-11.13028622,291.6142578,16.52802467,159,212.9804077,88,51.97107697,58,56.7627182,3.201991081,15.330369,3.208373308,-10.39999962,27.69803429
Anaxyrus hemiophrys,1,426.0049133,2.898671627,-11.13584232,291.0606079,16.53621864,159,213,88.00484467,51,58,56.76954651,3.20075798,15.33781338,3.263899088,-10.39999962,27.69951439
Anaxyrus hemiophrys,1,436.3718262,2.900000095,-11,298.6774902,16.56770706,158,217,92,52,58,55.4322319,3.299999952,15.39999962,3.299999952,-10.19999981,27.54870796
Anaxyrus hemiophrys,1,426.0913086,2.5,-13.39999962,290,17,158,212,87.09801483,53,57,58.62385941,3.099999905,15.80000019,3.099999905,-12.15660381,30.39999962
Anaxyrus hemiophrys,1,402.036499,2.799999952,-12.58373642,277.6789856,17.10000038,160,204.3425598,80,48.34252167,57,61.61265945,3.299999952,16,3.299999952,-11.4847393,29.68473625
Anaxyrus hemiophrys,1,466,3.099999905,-11.05957699,323,16.70000076,157,233.8666687,100,52.2260704,57,51.78209686,3.400000095,15.5,3.400000095,-10.06828594,27.76835251
Anaxyrus hemiophrys,1,439.7633667,2.900000095,-12.10659504,304.7993774,17.08852959,161,222.7814941,89.99734497,52,58,55.94374084,3.40006876,15.89999962,3.402067423,-11.00244141,29.20207024
Anaxyrus hemiophrys,1,466,3.099999905,-11,323,16.70000076,157,233.8924713,100,52.61970901,57,51.77283478,3.400000095,15.5,3.400000095,-10.06197262,27.76198769
Anaxyrus hemiophrys,1,441.9131165,2.920584679,-12.00008106,306.0091248,17.01273918,161,223,90.96364594,52.90643692,58,55.62404251,3.411001921,15.89945889,3.421449661,-10.91885376,29.01858521
Anaxyrus hemiophrys,1,445.0812683,3,-11.99601936,307.8010864,17.06737328,161,223.7689819,92.08126068,53.94630814,58,55.41682434,3.5,15.89999962,3.5,-10.89999962,29
Anaxyrus hemiophrys,1,437.2141724,2.799999952,-11.9532938,298.2161255,16.79999924,159,218.2149658,88.46909332,54,57.75667191,56.25716782,3.299999952,15.60000038,3.299999952,-10.87851048,28.75313187
Anaxyrus hemiophrys,1,435.2879028,3.077579737,-11.94476128,296.283905,17.10000038,162,216,91.869133,54,58,57.79463196,3.599999905,16,3.5,-10.75404167,29.07224464
Anaxyrus hemiophrys,1,469.5977173,3.099999905,-10.69999981,329.4392395,16.5,156,237.4434814,100,52,56.28120041,50.084095,3.5,15.30000019,3.299999952,-9.768143654,27.21567345
