Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Anaxyrus hemiophrys,1,526.1881714,1.084850669,-16.9056778,351.8459167,17.48509598,143.9048767,248.6878662,105.1379242,61.09511948,58,49.74807739,2.429292202,16.0850811,1.175809741,-15.30951214,34.39476395
Anaxyrus hemiophrys,1,513.5614624,1.469822526,-16.63023949,343.8222046,17.86960411,146.7445984,243.5108185,101.2554092,58.16870117,57.66080093,51.96871948,2.847083569,16.51657677,1.569049001,-15.00866508,34.5
Anaxyrus hemiophrys,1,516.8336792,3.700000048,-14.30000019,349.9699097,19.59805107,163,234,120,57,58,55.91633606,4.900000095,18.5,3.984306335,-12.5,33.80138016
Anaxyrus hemiophrys,1,519,3.599999905,-14.39999962,352,19.5,162,237,120,57,58,55.38333893,4.826085091,18.39999962,3.799999952,-12.69999981,33.90000153
Anaxyrus hemiophrys,1,518.1900635,3.599999905,-14.39999962,352,19.5,162.0023651,236.2091827,120,56.99781418,58,55.48104477,4.887236595,18.39999962,3.825832367,-12.69999981,33.90015793
Anaxyrus hemiophrys,1,517.0358276,3.700000048,-14.39216042,351,19.60000038,163,235.0093384,120,56.00934982,58,55.82080078,4.902224541,18.5,3.932319641,-12.60000038,33.90000153
Anaxyrus hemiophrys,1,523.1835327,3.099999905,-14.99135399,355.8903198,19.20000076,161,243.6931763,114.2002029,58,59,54.01091385,4.400000095,18,3.299999952,-13.23058033,34.23038101
Anaxyrus hemiophrys,1,516.4176636,3.400000095,-14.80000019,353,19.39999962,161,239,117.0348892,55.35686493,58,55.09999847,4.699999809,18.29999924,3.599999905,-13,34.20000076
Anaxyrus hemiophrys,1,518.0880127,3.299999952,-14.93946266,354.5318909,19.36040878,160,241.4031067,116,55,58,54.55157089,4.599999905,18.20000076,3.5,-13.19999981,34.29999924
Anaxyrus hemiophrys,1,519,3.299999952,-15,355.1363831,19.33340645,160,242,116,55,58,54.43373108,4.599999905,18.20000076,3.5,-13.19999981,34.29999924
Anaxyrus hemiophrys,1,519.1963501,3.200000048,-15,356.116272,19.29999924,160,242,117,55,58,54.28842545,4.5,18.20000076,3.400000095,-13.19999981,34.29999924
Anaxyrus hemiophrys,1,519.1377563,3.200000048,-15.00212574,355.1424255,19.29999924,160,242,116.2873459,55.27729797,58,54.28826523,4.5,18.1916256,3.400000095,-13.30000019,34.29999924
Anaxyrus hemiophrys,1,527.9783325,3.192517042,-15.81010151,358,19.5045681,158,239.0631714,123,59,58,54.58255768,4.60942173,18.29999924,3.091733694,-13.30962372,35.39302063
Anaxyrus hemiophrys,1,557,2.700000048,-15.89999962,364.8411255,19.06829834,156,240.99646,131,66,59,52.21372604,4.269464493,17.79999924,2.698143721,-13.89999962,34.98279953
Anaxyrus hemiophrys,1,534.1029663,3.203747988,-15.60000038,360.0247192,19.5,158,237.5428619,124.9577255,61,58.95156479,54.14099503,4.703799725,18.30366135,3.103975058,-13.29583454,35.09122849
Anaxyrus hemiophrys,1,535.4806519,3.200000048,-15.59483433,360.9747925,19.49463272,158,238.5068207,125,61,59,53.94371796,4.699999809,18.29999924,3.099999905,-13.29622841,35.04681015
Anaxyrus hemiophrys,1,543.685791,3.308822393,-15.22797203,361.7843323,19.47185135,158.3796082,235.7360229,127.227356,62.22735596,59,53.83937073,4.972247124,18.37186623,3.209049702,-13.2227354,34.70000076
Anaxyrus hemiophrys,1,560.5826416,3.599999905,-14.89999962,380.6898804,19.70000076,160,247,131,57.66442108,62,51.74171829,5.199999809,18.70000076,3.5,-13.10000038,34.65782166
Anaxyrus hemiophrys,1,581.3212891,2.799999952,-16.5,387.1420288,19.39999962,156,256,131,63.45066071,60,50.17386627,4.599999905,18.35395622,2.854026794,-14.5,35.94506836
