Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
"Rana luteiventris Thompson, 1913",1,816.6099243,4.069330692,-5.509615898,360.0317993,15.36804199,162.9501953,206.8145905,233.8175354,166.3127136,61.33731461,42.78167725,4.516913414,13.85212994,3.267991543,-5.249641895,20.87847519
"Rana luteiventris Thompson, 1913",1,502.9046936,3.231195688,-7.055119038,265.8507385,14.57748508,151.4434509,160.669632,122.3726959,92.2261734,61.14594269,54.79256439,3.719486952,13.13130283,2.48869133,-6.455654621,21.60000038
"Rana luteiventris Thompson, 1913",1,793.8410645,4.108870983,-5.5,347.614563,15.4894495,163.5588989,197.7904358,223.9943237,163.6020813,61.36619949,44.46389771,4.508839607,13.90882587,3.309185505,-5.199999809,21
"Rana luteiventris Thompson, 1913",1,689.6762695,3.803654194,-6.390329838,314.1921387,15.2795763,156.0069427,179.8529358,210.6283569,156.5299683,59,48.6154747,4.67980814,13.73312092,2.731236458,-5.968763828,21.6696949
"Rana luteiventris Thompson, 1913",1,639.4332275,4.160093307,-5.759405613,334.7711487,15.40936661,160.3804321,193.5211182,186.8440399,108.8679504,58.89987564,46.09895706,4.656036377,14.01497936,3.391319275,-5.508220673,21.2099762
Rana luteiventris,1,794.2368774,3.273765802,-6.527053833,380.4365845,14.66851902,152.905899,217.5944672,240.7430267,152.4692383,61.83919907,38.62381363,3.77515769,13.16635799,2.35940361,-6.134230137,21.19119263
"Rana luteiventris Thompson, 1913",1,503.0030823,3.332775354,-6.967196465,266.7680664,14.67696381,152.4152069,161.1765594,122.176445,91.76095581,61.09996414,54.98633957,3.81893158,13.2328701,2.631865501,-6.400000095,21.60000038
"Rana luteiventris Thompson, 1913",1,554.2838135,2.805105686,-7.41150713,287.3660583,14.18874931,147.0562439,172.0117798,136.4942169,104.9947281,62.47187805,49.43341446,3.2417202,12.70506001,2.005624771,-6.79437542,21.60000038
"Rana luteiventris Thompson, 1913",1,474.9853516,3.28492403,-7,256.3849182,14.68440056,150.2895508,154.0509644,124.1462326,82.23640442,60,57.35390472,3.845081568,13.24438667,2.544721603,-6.455731869,21.70000076
"Rana luteiventris Thompson, 1913",1,717.7355957,3.477398396,-6.547376633,318.9293213,15.05990219,154.1930084,183.1296844,221.5977936,168.940506,60.4691658,47.21907425,4.36949873,13.46986294,2.470745325,-6.238848209,21.60793686
Rana luteiventris,1,541.6116943,1.687580824,-8.837872505,313.53302,13.26339626,125.6339569,194.6564636,150.1145935,86.77594757,57,42.52454376,2.408804417,11.90789509,0.749279082,-8.37040329,22.12132835
"Rana luteiventris Thompson, 1913",1,710.6459961,3.710938692,-6.103007793,354.2744446,15.0339489,157.9429932,204.1464691,210.7395325,130.4926453,60.6546669,42.39048767,4.207118034,13.53677273,2.868037462,-5.825200081,21.14016533
Rana luteiventris,1,645.010376,4.139318943,-5.86986208,324.5170288,15.48144054,158.5525818,187,189.9457855,119.1264648,58.1284256,47.65258789,4.787157536,13.98342514,3.336876869,-5.557570934,21.35178185
"Rana luteiventris Thompson, 1913",1,509.4781799,2.999109983,-7.200863838,267.4216003,14.29825878,150.655899,161.5359955,124.3907471,94.575737,62.44040298,53.55424118,3.39836216,12.89919662,2.323616505,-6.576464176,21.55601501
"Rana luteiventris Thompson, 1913",1,603.1920166,2.356163263,-7.788868427,293.230896,13.75739193,144.3628387,174.7364197,146.6021423,126.3307571,64.23993683,46.95875931,2.637570381,12.28050995,1.612295866,-7.118424416,21.54524231
"Rana luteiventris Thompson, 1913",1,598.5137939,2.412562132,-7.787471294,294.0746155,13.81383896,144.1383972,175.3805847,145.6237335,123.3798218,63.70848083,47.03946304,2.692852736,12.3124485,1.613839269,-7.08616066,21.60000038
"Rana luteiventris Thompson, 1913",1,671.9335327,3.948223352,-5.909482479,343.5440674,15.22526264,159.3091736,198.2384644,197.6902618,118.718811,59.42835236,44.32528305,4.444295883,13.76073837,3.156349897,-5.673913956,21.15708923
"Rana luteiventris Thompson, 1913",1,679.9365845,0.327292174,-10.10000038,375.9416809,11.37707424,117.2882004,232.0713806,178.3698273,115.8686523,62,30.25201607,1,10.10000038,-0.5,-9.314360619,21.47707558
Rana luteiventris,1,514.0371704,1.65520072,-8.87761879,296.2826233,13.21425533,125.1469345,183.2333069,143.2684326,83.84725952,57.18173599,44.66004944,2.399553061,11.85520172,0.73231113,-8.427004814,22.05836105
Rana luteiventris,1,526.4750977,0.815040946,-9.503418922,295.0341797,11.90002251,115.2255936,193.7521362,132.1912689,81.75548553,58,40.39753342,1.079968572,10.49633312,0.414577216,-8.683029175,21.41674805
Rana luteiventris,1,520.7617188,0.526333332,-9.789129257,292.3196106,11.60154819,112.3473892,192.4584656,133.6373749,79.18706512,58.13651276,39.72232819,0.729676306,10.21050739,0.12096712,-8.881928444,21.38629913
Rana luteiventris,1,548.1571045,3.037271738,-7.636237621,336.1441345,14.46714687,138.9695435,212.565506,158.6646881,68.96848297,55,43.02729797,3.667390585,13.07219982,2.533155441,-7.133424759,22.16355133
Rana luteiventris,1,603.8525391,2.081212997,-8.010339737,317.3128662,13.58121586,138,189.573288,172.7735138,108.4559784,62.21012115,42.82604218,2.570184231,12.18111134,1.179030299,-7.508618832,21.58804703
