Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Rana luteiventris,1,535.3721313,3.073788166,-7.032876015,235.4859619,15.3961935,128.5953369,132.5259094,160.8133392,125.690918,53.99990845,65.39962006,3.465807676,13.6002636,1.830965281,-6.46181345,22.43358231
Rana luteiventris,1,788.6408691,6.65217495,-3.79394412,221.5393372,17.99202728,186.7675781,118.3610764,174.4217224,247.432373,58.86436462,81.6144104,6.510194302,16.65388298,6.276537418,-2.809660435,21.76594543
Rana luteiventris,1,504.9438171,7.331152916,-3.36886692,170.2002106,19.36301041,184.4819336,95.19025421,118.3229675,146.644989,55,113.7818527,6.931198597,17.73939896,7.23165369,-2.567772865,22.70774078
Rana luteiventris,1,1264.708374,5.651739597,-3.816087484,331.2135925,16.84497643,190.2472076,179.1238708,317.9440613,437.6906433,66.19638062,51.99030304,5.747804165,15.25228786,4.661582947,-3.058629751,20.66365433
Rana luteiventris,1,707.1955566,3.436691761,-7.570291996,254.8252869,16.22148132,145.2364044,140.7733917,203.6463928,203.6173706,57.63339233,63.68312836,3.897143364,14.39722347,2.436726093,-6.98648119,23.80780792
Rana luteiventris,1,1407.057007,4.402791977,-4.636996746,366.9134521,15.39011955,176.5535278,194.8993988,354.4752197,488.6392822,68.33182526,42.46086121,4.483494282,13.78473473,3.421548128,-3.962122917,20.05684853
Rana luteiventris,1,734.6954956,7.206992626,-2.857658148,210.0596313,18.49117851,189.135788,111.2682571,184.0036469,238.8625488,56.88138199,88.12700653,7.008221149,17.03111458,6.797426224,-2.090296984,21.28123856
Rana luteiventris,1,493.8570862,6.916553974,-3.698919773,220.0157166,18.91207314,185.578186,123.0492249,146.1817017,115.524025,57.11829758,85.85838318,6.824739456,17.20973969,6.411147594,-2.861297131,22.60799026
Rana luteiventris,1,862.6342773,7.230580807,-2.774314165,212.1659088,18.62594986,194.1139832,114.6559601,207.4005585,312.3106384,58.93289566,87.96995544,7.22349596,17.12444687,6.509698391,-1.905068517,21.40591812
Rana luteiventris,1,569.1737671,4.341452599,-5.462748051,274.7010193,16.26476288,147.5493622,158.870636,179.2276001,114.8666611,55.43847656,59.14288712,4.564342499,14.56444073,3.164634705,-5.011847973,21.70000076
Rana luteiventris,1,713.0684204,6.362932205,-3.641118526,253.733078,18.16149521,186.6902313,143.0407257,180.5651855,205.9214325,60.97321701,71.65368652,6.19131422,16.45800972,5.843677521,-3.114189863,21.85362625
