Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Ambystoma mavortium,1,413.227356,2.599999905,-12.39999962,283.2432861,16.79999924,158,205.6997681,86,48,57,59.40613174,3.099999905,15.69999981,3.099999905,-11.39999962,29.20000076
Ambystoma mavortium,1,444.3056946,3,-11,304.2988892,16.60000038,159,221,92,54,58,54.66942978,3.299999952,15.5,3.299999952,-10.11924934,27.66941261
Ambystoma mavortium,1,449,3,-11.08891392,302.338623,16.62210083,157.9298553,218,98,55,57,55.06764221,3.294752836,15.5,3.299999952,-10.16829109,27.70000076
Ambystoma mavortium,1,473.1474915,3.099999905,-11.19999981,324.5479431,16.89999962,158,228.5608673,108.471962,53.51990891,56.52399063,52.19742966,3.5,15.71427822,3.5,-10.30000019,28.10000038
Ambystoma mavortium,1,461.7358093,3.099999905,-11,313,16.78177834,158,226,100.7358017,55.73580551,57,53.52855682,3.400000095,15.60000038,3.400000095,-10.10000038,27.79999924
Ambystoma mavortium,1,459.9994507,3,-11.30000019,311.9994202,16.79999924,158,223.2381897,102.499733,54.50026703,57,53.95008469,3.400000095,15.69999981,3.400000095,-10.39999962,28.14766312
Ambystoma mavortium,1,450.9125061,3,-11.19350624,303.3721619,16.70000076,158,219,98,56,57,55.04857635,3.299999952,15.55167294,3.299999952,-10.25328159,27.88600922
Ambystoma mavortium,1,419.3851318,2.799999952,-11.66161156,287.3829651,16.70000076,159,211,84.39104462,51,58,58.12842941,3.200000048,15.56164074,3.200000048,-10.76093864,28.41335487
Ambystoma mavortium,1,454,3,-10.89999962,308,16.60000038,158,222.2009125,97,55,57,54,3.299999952,15.5,3.299999952,-10,27.59215927
Ambystoma mavortium,1,449.9381714,3,-11.10000038,303.3469543,16.70000076,158,219,97.96601105,55.90492249,57,54.9588623,3.299999952,15.5,3.299999952,-10.19999981,27.7904911
Ambystoma mavortium,1,455.9631042,3.099999905,-10.9986248,313.9648743,16.70000076,159,227,96,53,57,53.1424942,3.45976615,15.5,3.400000095,-10,27.6036911
Ambystoma mavortium,1,524.9882202,3.641721487,-6.599999905,329.0820923,14.88302803,146.5837402,214.1927795,144.8969574,65.29563141,55,45.18255997,4.199999809,13.60000038,3.099999905,-6.199999809,21.5
Ambystoma mavortium,1,503.7004395,3.099999905,-9.899999619,358.2770081,15.81331062,152.7445831,256.908783,105.3783264,53.12258911,56,44.15158844,3.400000095,14.69999981,3.200000048,-9,25.70916557
Ambystoma mavortium,1,514.5336914,3.599999905,-7.252565384,349.044281,15,147,230.0082397,138.3127899,51,54,43.06677628,4.099999905,13.80000019,3.099999905,-6.699999809,22.29999924
Ambystoma mavortium,1,514.0916748,3.099999905,-9.954920769,358.6768188,15.94405174,153,254.1096191,113.1097488,58.19922256,56,44.42102814,3.400000095,14.80000019,3.208920479,-9.144491196,25.89780426
Ambystoma mavortium,1,423.2593689,3.065645456,-10.33433819,289,16.60000038,162,210,88,51,59,57.37408447,3.400000095,15.37508488,3.400000095,-10.00875282,26.90871811
Ambystoma mavortium,1,435.135437,3.096208811,-12.06365299,297.1011658,17.16980362,162,216.1322784,90.9853363,53,58,57.66518402,3.595994711,15.99523067,3.5,-10.86028862,29.16281891
Ambystoma mavortium,1,452.3261719,2.400000095,-13,301.3700562,16.70000076,157,221,91.45620728,59,57.87571335,55.33480453,2.967465401,15.5,3,-11.76684952,29.70000076
Ambystoma mavortium,1,476.6255493,3.200000048,-9.699999809,341.383606,15.90242195,153,241.3632355,102,51,55.30585098,46.66709518,3.502394676,14.80000019,3.299999952,-8.899999619,25.6024704
Ambystoma mavortium,1,463.9447021,3.099999905,-11.09423161,314,16.79999924,158.559906,229,98.79943848,57,57,53.5516243,3.5,15.66799259,3.299999952,-10.10000038,27.89410591
Ambystoma mavortium,1,406,2.299999952,-13.5,279.7411194,16.89999962,156,202.7720947,85,48,57,60.43724442,2.799999952,15.69999981,2.973869324,-12.39999962,30.39999962
Ambystoma mavortium,1,386.3638611,2.407242537,-13.19999981,268.3612976,17,157,197,83,42,58,63.27441025,3,15.80000019,2.900000095,-12,30.20000076
Ambystoma mavortium,1,449,3,-10.89999962,307,16.60000038,158,222,94,54,58,54.23642349,3.299999952,15.5,3.299999952,-10,27.57383919
Ambystoma mavortium,1,445.9572449,3,-10.98999786,302,16.60000038,157,218,95.87363434,54.06666946,57,54.99320221,3.200000048,15.5,3.299999952,-10.09333038,27.5933075
Ambystoma mavortium,1,442.3701477,3,-10.94724751,302.6366272,16.60000038,159,220.6541748,92,53.65417099,58,54.76916504,3.299999952,15.39999962,3.299999952,-10.10000038,27.5470829
Ambystoma mavortium,1,431.4819641,3.099999905,-11.10000038,304.9427185,16.70000076,156,218.9364471,93,47,56,54.82155991,3.5,15.60000038,3.200000048,-10,27.86411667
Ambystoma mavortium,1,482.2066345,3.099999905,-11.30000019,337.3955078,16.79999924,160,240.4641876,100.112854,53.7298317,57.08208466,49.86011887,3.547529221,15.60000038,3.5,-10.19999981,28.14667892
Ambystoma mavortium,1,449.5605469,2.900000095,-11.31288528,299.4317627,16.70000076,159,216.4297333,98.93412781,56.57982254,58,55.85720062,3.299999952,15.60000038,3.24324441,-10.39999962,28.09869766
Ambystoma mavortium,1,464.1603088,2.099999905,-13.46022224,303.237854,16.47641373,156,220.6517181,95.38353729,64.38323212,58,54.22169876,2.700000048,15.30000019,2.662550449,-12.11334229,29.93819618
Ambystoma mavortium,1,441.8541565,2.936104298,-11,301.8598022,16.60000038,158,219,92.85207367,53,58,54.96432114,3.299999952,15.39999962,3.299999952,-10.19999981,27.60000038
Ambystoma mavortium,1,477.1228027,3.099999905,-10.10000038,336.0733032,16,152,237.2797546,105.3463058,51,55,47.65366364,3.5,14.89999962,3.200000048,-9.199999809,26.16550446
Ambystoma mavortium,1,397,2.599999905,-13.19999981,272.672821,17.29999924,158,196.3708038,88.62918091,44,57,63.44902802,3.299999952,16.10000038,3.200000048,-12.04907608,30.5
Ambystoma mavortium,1,484.8321533,3.099999905,-10.81903267,327.8405762,16.50023842,161,239.7276917,99.00413513,58,58,50.33852005,3.400000095,15.39999962,3.400000095,-9.800000191,27.31913567
Ambystoma mavortium,1,576.1108398,3.181068897,-6.818898678,364.698822,14.16347599,137.7922363,234.2620697,157.9125214,68.25998688,54,38.75648499,3.7809937,12.8811779,2.56301856,-6.438750267,20.99738312
Ambystoma mavortium,1,554.3325195,3.490239382,-6.699999809,348.8532104,14.58388615,143.8248138,225.4653931,155.7488556,67.46214294,54.1122551,41.82785416,4.030031681,13.37498856,2.889441729,-6.300000191,21.28287697
Ambystoma mavortium,1,511.604187,3.831798315,-6.699999809,337.4733276,14.93583012,146.3660126,222.2693176,133.7984314,57.9016571,53.00479507,44.35861588,4.33608675,13.72984314,3.336423874,-6.199999809,21.63596153
