Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Ambystoma mavortium,1,704.8997192,4.680406094,-6.800000191,222.3499451,17.4137516,149.999939,110.5369492,201.4701538,224.8363342,52,78.3551178,5.180424213,15.68037605,3.980282545,-6.219478607,24.20091248
Ambystoma mavortium,1,705.2738037,4.049603939,-7.47258234,237.2019501,17.1073761,150.4249878,128.5518036,193.0295105,229.4196472,54.67542648,72.15788269,4.529567242,15.30738354,3.279983044,-6.972558022,24.57986069
Ambystoma mavortium,1,755.4038086,4.568724632,-6.818085194,229.6857758,17.42686462,147.9163513,113.7828979,215.2109833,245.3921814,51.30284882,75.94809723,5.138615131,15.6381464,3.866862535,-6.232743263,24.24508667
Ambystoma mavortium,1,643.032959,5.224487305,-5.625592709,236.8654327,18.03110886,165.7666321,118.5457153,189.8640442,179.858551,58.30482101,76.17718506,5.745024204,16.12415695,3.951431513,-4.953822613,23.63424492
Ambystoma mavortium,1,852.7733154,4.220411777,-7.079621792,250.7518616,16.93484879,143.9604645,123.22052,239.5896149,290.4919434,51.79149628,67.69390869,4.720482349,15.220294,3.516161919,-6.418883801,24.02360725
Ambystoma mavortium,1,698.9906006,4.136327267,-7.363672733,224.6160431,16.92716217,141.3632813,118.5040817,194.7024231,230.9542999,50,75.18417358,4.636327267,15.19077301,3.491368055,-6.763672352,24.22845459
Ambystoma mavortium,1,827.1875,4.231935501,-7.079693317,247.3770905,16.99643517,143.7554169,122.3539734,232.8126373,278.6401062,51.64073944,68.55722046,4.731978893,15.22024441,3.5,-6.5,24.03368568
Ambystoma mavortium,1,689.7102661,4.652305603,-6.821595669,219.2956238,17.42379951,147.9701538,108.9999084,197.1444244,218.5743256,51.3295517,79.39826965,5.153990746,15.65407467,3.952310562,-6.227526188,24.23945427
Ambystoma mavortium,1,288.3423767,10.90467739,-0.300000012,80.95379639,23.53826332,242.0476837,32.95218277,96.19626617,97.19503021,57,291.0711975,10.89999962,21.60465813,10.51962662,0.699999988,23.81962585
Ambystoma mavortium,1,650.118042,4.674161434,-6.699999809,232.0727386,17.43310165,148.2874451,115.488945,186.962616,190.534729,52,75.24166107,5.233548164,15.69458389,3.953558445,-6.199999809,24.17478371
Ambystoma mavortium,1,295.9708862,11.00414944,-0.200000003,80.95834351,23.70000076,244,33,100,99.23060608,57,292.7302246,11,21.70536232,10.60417366,0.800000012,23.89999962
Ambystoma mavortium,1,348.2875061,10.71628952,-0.400000006,89.26138306,23.5,242.1628876,35,117.3178711,122.0432968,58,263.1894226,10.81116199,21.51628876,10.11629009,0.5,23.89999962
Ambystoma mavortium,1,247.1070251,10.39999962,-1,75.27868652,23.42742157,232,30,79.72190094,75,57,310.5934143,10.42765045,21.38933754,9.800000191,-0.100000001,24.47213173
Ambystoma mavortium,1,369.7256165,8.991225243,-1.405472279,111.1136093,21.50524712,206.3930206,52.0284462,128.1513214,109.3856964,56.02145386,193.9648132,9.104855537,19.50520515,7.788804054,-0.494832039,22.99107742
Ambystoma mavortium,1,441.3408508,8.345924377,-3.599999905,165.6718292,21.5,197.2279816,80.66636658,130.6663361,130.6662445,54,129.6856079,8.699999809,19.66706276,7.900000095,-2.900000095,25.10000038
Ambystoma mavortium,1,433.3583374,8.339658737,-3.599999905,164.4814148,21.53940392,196.1872253,80,128.2806854,127.482811,53.60113907,130.4932098,8.739683151,19.65195465,7.900000095,-2.887578726,25.14065933
Ambystoma mavortium,1,593.4125977,7.772992134,-3.312251091,178.6743469,21.45325279,207.4954224,83.27349091,177.6158752,203.950943,63.70537949,120.1717072,8.172732353,19.3567028,6.267786026,-2.623488903,24.6760025
Ambystoma mavortium,1,499.7550659,8.100260735,-3.400954008,171.4366455,21.55737114,201,80.98788452,152.4431458,154.869751,58,125.9350586,8.600259781,19.60026169,7.055152416,-2.799999952,25.0002346
