Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Anaxyrus boreas,1,805.6466064,7.774007797,-2.043651581,212.1852875,19.05701256,209.9064941,114.5897675,202.257019,272.9880676,61,89.9127121,7.557012558,17.65630913,7.457012653,-1.525372267,21.10000038
Anaxyrus boreas,1,680.0559692,5.171794415,-5.582531929,316.9683533,16.64132309,174.3289032,208.9814453,133.1959686,153.5785828,60.67472076,52.55601883,4.887803555,15.40449715,5.456551075,-5.098084927,22.18680763
Anaxyrus boreas,1,520.9370728,4.432948112,-6.825615406,223.755188,15.87768459,163.1273041,141.437561,100.0441818,120.9812622,59.38494873,70.90065765,4.335443497,14.83298111,4.633078098,-6.162712097,22.70000076
Anaxyrus boreas,1,1025.223389,5.361317158,-4.259827137,322.4189758,16.55700302,184.6831818,192.5425415,224.9863434,312.8028259,66.24285889,51.49350739,4.956525326,14.96755505,5.056818485,-3.454124928,20.83490181
Anaxyrus boreas,1,1432.064087,1.727880359,-7.658982277,514.4802856,13.12644958,142.49646,279.7497864,412.5779114,371.2110596,68.14258575,25.44770241,2.157865286,11.42803669,0.526318729,-7.350380421,20.70000076
Anaxyrus boreas,1,744.9240112,4.257394791,-6.146120071,355.1236877,15.48357773,167.2805634,227.8025055,149.1161346,165.1694489,62.96681595,43.64892578,4.031742096,14.28348351,4.359596729,-5.670649052,21.62939072
Anaxyrus boreas,1,760.0834351,4.055210114,-6.300000191,355.8945923,14.55647564,158.7725983,234.9231567,146.9806671,173.2012329,60.34481812,40.96192932,4.154237747,13.73128891,3.995649576,-5.534492016,20.85203362
Anaxyrus boreas,1,804.5229492,3.925804377,-6.480600834,365.0578308,14.42860413,159.2069397,240.3160858,157.858139,186.4137115,61.75882721,39.45239258,4.022504807,13.54554462,3.746708155,-5.679380894,20.82475853
Anaxyrus boreas,1,1799.483887,2.14296031,-7.332589626,462.6221008,13.27167797,159.7641144,258.6122742,465.0781555,584.9108887,75.35425568,28.76853752,2.157536983,11.64334869,1.163138628,-6.43544054,20.65554428
Anaxyrus boreas,1,680.8427124,1.560579062,-9.0395298,385.6175842,12.97767735,129.7767792,230.9552155,202.1233826,110.2575302,59.22322464,33.93226242,2.283862114,11.66021347,0.664676607,-8.412942886,22.04510117
Anaxyrus boreas,1,722.9698486,7.869131565,-2.677651405,256.9230347,19.48567772,218.8625641,143.9238129,203.7124023,191.1727448,64.33247375,75.78197479,7.639523983,18.05857658,7.639778137,-1.779885292,22.1662941
Anaxyrus boreas,1,829.1068115,0.212145582,-9.800000191,438.6208801,11.25754261,119.1139755,261.0949097,246.4139252,134.5289307,63,25.59539413,0.927046239,10.01221466,-0.788676441,-9.372953415,21.04204559
Anaxyrus boreas,1,748.9869995,0.996100426,-9.63317585,401.4049988,12.54290962,128.2854614,241.3937073,213.8380127,133.2750397,62.99417877,31.21325111,1.296595693,11.23939419,0.260252476,-8.798808098,22.17171669
Anaxyrus boreas,1,739.0282593,3.196992397,-6.848875046,324.739563,14.74619484,151.5511169,185.6868591,228.0605927,174.8780975,61.56957626,45.40249634,3.952995062,13.19666672,2.146195173,-6.456965446,21.54875374
Anaxyrus boreas,1,1288.435059,5.07927084,-4.710409641,384.0101929,16.1290226,196.0321808,223.4517517,333.6782837,385.8927917,72.19036102,42.0459137,4.911612511,14.71467113,4.483484745,-3.820301294,20.81782532
Anaxyrus boreas,1,404.749176,5.960516453,-5.772337914,201.3605957,18.21035004,175.5956116,120.7563858,103.2981415,82.38362885,57.73127747,90.93278503,5.671147823,16.57841301,6.24716711,-4.581018448,23.94412613
Anaxyrus boreas,1,741.1997681,8.34800148,-1.650881648,238.0808411,19.6475563,233.7002106,136.6195984,181.0252228,225.6240387,66.26520538,82.73775482,8.049958229,18.23455048,8.139356613,-0.927969813,21.29546547
Anaxyrus boreas,1,918.0311279,0.223229095,-10.21463299,389.2081604,10.99859905,113.2586136,255.4010773,178.5301666,232.8657379,63.22119141,29.13530159,0.330646366,9.855115891,-0.090603091,-9.077615738,21.25319481
Anaxyrus boreas,1,1056.617554,2.695360661,-7.669010162,340.6540222,13.90629196,143.5925903,194.6737518,252.9496155,296.6990356,65.32794952,40.87594986,2.599998713,12.48820782,2.042753458,-6.332843781,21.56454659
Anaxyrus boreas,1,1057.203247,6.235427856,-3.989724636,227.9246216,17.33416176,200.5910187,133.3768616,196.254715,385.6009216,66.11134338,76.21417236,5.781157017,15.78318882,6.335683346,-2.989854813,21.32494164
Anaxyrus boreas,1,574.1038208,7.532476902,-3.314522982,206.806015,19.5771122,171.7719574,115.5660782,161.3105774,157.9474487,48.97128296,95.02706909,7.646948814,17.77555847,6.933558941,-2.262998581,22.88947678
Anaxyrus boreas,1,604.3874512,2.795133352,-8.705008507,256.946106,14.20891571,133.5193329,170.0200348,111.1451416,156.8447571,58.05065918,55.25226593,2.597855806,12.91691017,3.040680647,-7.491688728,22.89169502
Anaxyrus boreas,1,531.0819702,4.712559223,-6.099999905,265.3394775,15.65056801,161.9155273,171.5780029,98.66320801,120.4886322,57.95883179,59.01970673,4.606201172,14.54810143,5.049652576,-5.41769743,21.79004097
Anaxyrus boreas,1,856.0776367,1.319938064,-8.691450119,367.4173889,12.32716084,127.2541046,227.4506073,188.8199615,208.4411926,65.10461426,33.51534271,1.517187834,10.93960476,0.614217818,-7.906699657,20.93006897
Anaxyrus boreas,1,549.3999634,4.571538925,-5.628438473,305.0413818,15.79963684,162.7114258,178.0163269,157.72612,86.33350372,58,51.90708923,5,14.46993351,3.941040277,-5.229688644,21.39999962
Anaxyrus boreas,1,684.328064,0.861307502,-9.449388504,393.6132813,12.16854382,121.8843689,246.5624237,189.3493347,103.0936356,59.63922119,30.96899986,1.423620582,10.85906887,0.049475241,-8.855709076,21.6082859
Anaxyrus boreas,1,819.4524536,7.656757355,-2.546741486,244.7825928,19.12975883,215.7987976,141.3963013,195.6626282,258.856842,64.3235321,77.96871948,7.358754635,17.63971329,7.429415703,-1.652502894,21.66786957
Anaxyrus boreas,1,1572.487061,0.806652904,-7.89921093,415.5524292,11.4938221,143.1687927,234.5319519,403.3101501,452.2845764,77.01667023,27.80476761,0.726589024,9.888001442,-0.277206689,-6.962183952,19.32629204
Anaxyrus boreas,1,339.3647766,2.201011896,-8.798905373,204.1826019,13.70209217,130.039032,126.353569,84.09545135,48.32813263,56.56114197,67.3640976,2.607692003,12.30750942,1.808657289,-8.001912117,22.50451851
Anaxyrus boreas,1,746.3605957,0.60629636,-9.60016346,404.0210266,11.80628586,123.5102234,242.8526764,216.8448792,121.165802,62.54698944,29.22812843,1.355618715,10.55344868,-0.299029678,-9.049016953,21.36725807
Anaxyrus boreas,1,1308.600952,3.953875542,-5.684555531,402.7528076,14.9421711,167.1893463,219.2968292,335.1939697,403.310791,66.87482452,37.34058762,4.090303898,13.41622734,3.167063951,-4.847989559,20.63646698
Anaxyrus boreas,1,1370.973511,2.571994543,-6.599617958,489.8988037,13.83723545,150.3408508,270.5327759,388.962738,361.3471375,66.28843689,28.44251633,2.875109196,12.28938389,1.536673188,-6.344922066,20.44632149
Anaxyrus boreas,1,719.6639404,0.854447961,-9.598653793,400.937439,12.20498276,127.0735855,244.8092804,203.8482513,117.411972,62.49227905,30.63049126,1.359016538,10.94600201,0.060075469,-8.893974304,21.85080528
Anaxyrus boreas,1,754.2901001,7.904493332,-1.705821395,234.4082031,18.83133316,232.26651,134.4485931,178.7913361,226.0947266,67.89207458,80.62259674,7.62035656,17.50411987,7.58710146,-1.015064597,20.56858063
Anaxyrus boreas,1,1211.611572,4.448967457,-4.972146988,264.2094116,15.65153694,173.0887451,136.7109222,302.2681274,442.6280212,66.60166931,59.48563385,4.567259789,14.13256168,3.422341585,-4.353767872,20.62227249
Anaxyrus boreas,1,719.8463135,7.047199726,-3.695765018,246.6852875,19.04828262,173.258255,140.6749573,204.1862335,206.6417542,51.3807373,77.43585968,7.153673172,17.29489136,6.391117573,-2.705981255,22.73737526
Anaxyrus boreas,1,1769.823364,1.651748419,-7.3815732,392.3692627,12.50820541,158.6440582,216.2354431,445.3812256,590.2506104,77.72624969,31.86300278,1.644283772,10.98028564,0.571227908,-6.597383022,19.89716911
Anaxyrus boreas,1,1068.828125,0.710610211,-9.135427475,355.652771,11.12086296,120.1046906,222.6385651,215.9403229,303.5675354,67.17453003,31.91190147,0.613525033,9.763069153,0.391381413,-8.077172279,20.2365036
Anaxyrus boreas,1,904.3973999,-0.180739418,-10.29326344,449.8420105,10.92939949,117.1572113,270.7963867,239.9962006,174.364212,64.96476746,24.38726425,0.315708846,9.719108582,-1.049326539,-9.684249878,21.21712303
Anaxyrus boreas,1,1149.444702,5.986209393,-3.766498089,322.1083069,16.80010605,207.4433136,199.0535583,229.1269073,389.4807739,69.85694122,52.16648865,5.572974205,15.3863306,6.072286129,-3.06901288,20.59279251
Anaxyrus boreas,1,1198.843384,-1.751180053,-12.09213352,521.0782471,9.252144814,98.80381012,317.5751343,232.8167572,295.2111816,65.65910339,17.76465034,-1.752919436,8.048757553,-2.384958982,-10.90001678,21.34636307
Anaxyrus boreas,1,390.5230408,5.875225067,-5.89961195,183.4251099,17.88500595,181.870575,117.2134171,85.93873596,88.4196167,59.93960953,97.46803284,5.377269745,16.50806427,6.582219601,-4.995392799,23.79999924
Anaxyrus boreas,1,1046.143311,3.156401157,-7.331065178,395.0218811,14.68452168,154.7419891,227.5149841,233.5213165,283.7563782,63.97990036,37.38555527,3.374070168,13.16028309,2.659911871,-6.514609337,22.00169563
Anaxyrus boreas,1,979.2501831,4.616581917,-4.951129436,283.4033203,15.52832031,171.3235626,152.7926178,245.0134125,316.3131104,64.8939743,54.91176224,4.806681156,14.14052105,3.829683542,-4.267295361,20.53795242
Anaxyrus boreas,1,1105.651245,-0.580443382,-11.05561447,469.805603,10.38473129,112.8309021,289.0935974,215.1944733,274.0619507,67.14866638,22.38736534,-0.81615001,9.156955719,-0.895970762,-9.83972168,21.43826103
Anaxyrus boreas,1,547.2954712,8.416284561,-2.085069418,178.5567017,19.73517036,232.7670288,97.70278168,133.3282623,168.3583679,66.00788116,110.5601959,8.015051842,18.43746185,8.516637802,-1.262209773,21.82052231
Anaxyrus boreas,1,673.3018799,5.283886433,-5.48329258,309.7130432,16.8000412,175.3501129,203.4802246,132.6301422,154.8040619,60.16308975,54.26587677,5.049415588,15.58381367,5.616006851,-5.014989376,22.28485298
Anaxyrus boreas,1,719.2084961,4.8729496,-5.981568336,334.839325,16.28983879,172.3894653,216.1155396,139.2132874,170.2125092,61.21238708,48.60256195,4.663824558,15.11102104,5.114346504,-5.482364655,22.24692154
Anaxyrus boreas,1,1035.839722,3.226009369,-7.260404587,391.3921509,14.83416462,154.5760651,225.8587646,233.1213989,279.413208,63.39657593,37.98590851,3.4395051,13.31845951,2.736250162,-6.449799061,22.08494568
Anaxyrus boreas,1,691.5638428,1.038852453,-9.504278183,352.5456238,12.54522514,127.5471649,219.825119,165.6370392,142.454071,65.54436493,35.56787109,1.099972486,11.13506413,0.34555614,-8.399999619,21.99104691
Anaxyrus boreas,1,987.4050293,7.112719536,-2.441620111,257.7066956,17.92165375,230.3136139,151.5355225,206.4428558,338.8917236,70.56595612,69.79654694,6.621995926,16.44648743,7.146530151,-1.779149175,20.35041237
Anaxyrus boreas,1,416.1853943,6.9258008,-4.644547939,196.9525757,18.9947319,193.6902771,117.5887527,100.2766342,92.92875671,59.15370941,96.65273285,6.540528297,17.44652748,7.344454765,-3.630750895,23.63869286
Anaxyrus boreas,1,541.2142944,7.745437145,-2.612530947,240.5355225,19.12473679,223.0307159,141.8260345,123.8850937,127.1421204,65.89094543,79.53782654,7.370377064,17.74598885,7.906550407,-2.045943975,21.76956177
Anaxyrus boreas,1,788.7163086,7.877703667,-2.990109444,244.0057373,19.65743256,217.4599915,137.5104065,195.5313721,258.6311951,64.51203918,80.72337341,7.592067242,18.26564598,7.655138493,-2.102493763,22.64963722
Anaxyrus boreas,1,1004.716736,5.64857626,-3.899653673,314.29422,16.75528336,190.7029114,188.170639,223.5387726,305.1188965,66.56695557,53.45178986,5.251142025,15.21468067,5.328263283,-3.121355534,20.6631031
Anaxyrus boreas,1,929.8414307,3.571630478,-7.570284367,309.1974487,15.17795372,153.2796478,177.0905609,215.7269135,264.92453,64.16103363,49.32447815,3.45920372,13.75446224,3.175383806,-5.981108665,22.7307148
Anaxyrus boreas,1,501.1387634,3.890040874,-6.190111637,263.5903931,15.18370056,154.2410126,158.3127594,141.7493591,91.58204651,57.90917206,57.56131363,4.4098382,13.71300697,3.191704988,-5.885258198,21.30528641
Anaxyrus boreas,1,1348.038574,1.93614459,-7.46381855,492.297821,13.30000019,145.6935577,265.7547302,395.2101135,338.8366394,68,26.99697113,2.357770205,11.63626957,0.734736025,-7.099999905,20.70000076
Anaxyrus boreas,1,670.1353149,6.294345856,-4.718796253,226.2548523,17.78992271,191.2080536,126.9996872,162.4229584,192.4215698,62.31498337,78.69374084,6.085379124,16.39476585,6.200720787,-3.584184408,22.56867218
Anaxyrus boreas,1,662.3432007,4.850430012,-5.900000095,291.8726196,15.89042759,163.7751007,183.9784698,130.6018677,161.9906464,57.8847084,54.51765823,4.850473881,14.89023304,4.890348434,-5.199715614,21.75046921
