Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Anaxyrus boreas,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaxyrus boreas,1,680.8427124,1.560579062,-9.0395298,385.6175842,12.97767735,129.7767792,230.9552155,202.1233826,110.2575302,59.22322464,33.93226242,2.283862114,11.66021347,0.664676607,-8.412942886,22.04510117
Anaxyrus boreas,1,829.1068115,0.212145582,-9.800000191,438.6208801,11.25754261,119.1139755,261.0949097,246.4139252,134.5289307,63,25.59539413,0.927046239,10.01221466,-0.788676441,-9.372953415,21.04204559
Anaxyrus boreas,1,748.9869995,0.996100426,-9.63317585,401.4049988,12.54290962,128.2854614,241.3937073,213.8380127,133.2750397,62.99417877,31.21325111,1.296595693,11.23939419,0.260252476,-8.798808098,22.17171669
Anaxyrus boreas,1,739.0282593,3.196992397,-6.848875046,324.739563,14.74619484,151.5511169,185.6868591,228.0605927,174.8780975,61.56957626,45.40249634,3.952995062,13.19666672,2.146195173,-6.456965446,21.54875374
Anaxyrus boreas,1,549.3999634,4.571538925,-5.628438473,305.0413818,15.79963684,162.7114258,178.0163269,157.72612,86.33350372,58,51.90708923,5,14.46993351,3.941040277,-5.229688644,21.39999962
Anaxyrus boreas,1,684.328064,0.861307502,-9.449388504,393.6132813,12.16854382,121.8843689,246.5624237,189.3493347,103.0936356,59.63922119,30.96899986,1.423620582,10.85906887,0.049475241,-8.855709076,21.6082859
Anaxyrus boreas,1,973.4578247,-0.009733636,-10.39999962,526.083252,10.89435959,115.328331,332.8823547,236.9191437,175.7324524,63,20.84865952,0.635644436,9.689904213,-0.8105129,-9.50564003,21.29435921
Anaxyrus boreas,1,746.3605957,0.60629636,-9.60016346,404.0210266,11.80628586,123.5102234,242.8526764,216.8448792,121.165802,62.54698944,29.22812843,1.355618715,10.55344868,-0.299029678,-9.049016953,21.36725807
Anaxyrus boreas,1,1370.973511,2.571994543,-6.599617958,489.8988037,13.83723545,150.3408508,270.5327759,388.962738,361.3471375,66.28843689,28.44251633,2.875109196,12.28938389,1.536673188,-6.344922066,20.44632149
Anaxyrus boreas,1,771.6654053,0.032163311,-10.2948885,424.4498291,11.02219868,114.3777466,261.7719421,200.5200043,134.4675446,62,26.07048988,0.735147715,9.815662384,-0.785989106,-9.49060154,21.32805634
Anaxyrus boreas,1,719.6639404,0.854447961,-9.598653793,400.937439,12.20498276,127.0735855,244.8092804,203.8482513,117.411972,62.49227905,30.63049126,1.359016538,10.94600201,0.060075469,-8.893974304,21.85080528
Anaxyrus boreas,1,904.3973999,-0.180739418,-10.29326344,449.8420105,10.92939949,117.1572113,270.7963867,239.9962006,174.364212,64.96476746,24.38726425,0.315708846,9.719108582,-1.049326539,-9.684249878,21.21712303
Anaxyrus boreas,1,585.8028564,2.732124567,-7.675874233,376.2104797,13.98251438,132.3594055,243.1531525,165.0353088,62.6169014,53.78112411,37.15013123,3.508726835,12.62371826,2.022153616,-7.139826775,21.60000038
Anaxyrus boreas,1,501.1387634,3.890040874,-6.190111637,263.5903931,15.18370056,154.2410126,158.3127594,141.7493591,91.58204651,57.90917206,57.56131363,4.4098382,13.71300697,3.191704988,-5.885258198,21.30528641
Anaxyrus boreas,1,1348.038574,1.93614459,-7.46381855,492.297821,13.30000019,145.6935577,265.7547302,395.2101135,338.8366394,68,26.99697113,2.357770205,11.63626957,0.734736025,-7.099999905,20.70000076
Anaxyrus boreas,1,601.6989746,2.118186474,-8.486450195,377.8878174,13.41886425,129,251.4405518,170.9450226,66.9562912,55.84528732,35.5943985,3.018079996,12.01803493,1.11765945,-7.781044006,21.90490341
Anaxyrus boreas,1,611.9940796,4.337017059,-5.648973942,327.0765686,15.63375282,161.753479,189.9968109,177.4085388,100.8268738,58.58220291,47.73356247,4.816947937,14.23732567,3.583480358,-5.349804401,21.25007629
Anaxyrus boreas,1,474.9853516,3.28492403,-7,256.3849182,14.68440056,150.2895508,154.0509644,124.1462326,82.23640442,60,57.35390472,3.845081568,13.24438667,2.544721603,-6.455731869,21.70000076
Anaxyrus boreas,1,520.7617188,0.526333332,-9.789129257,292.3196106,11.60154819,112.3473892,192.4584656,133.6373749,79.18706512,58.13651276,39.72232819,0.729676306,10.21050739,0.12096712,-8.881928444,21.38629913
Anaxyrus boreas,1,577.3573608,1.280888677,-9.17049408,302.6003418,12.62127781,125.1786957,188.1535797,152.7590942,100.4554138,59.16439819,41.72240067,1.629138112,11.217206,0.7301808,-8.475499153,21.78586006
Anaxyrus boreas,1,559.7138672,1.524334192,-8.975662231,314.9742126,12.99911308,125.2436142,193.9936066,153.7388611,96.74619293,57.75094986,41.44975662,2.249287367,11.69929504,0.624382794,-8.450733185,21.99981689
Anaxyrus boreas,1,764.3044434,2.222086191,-7.840333462,326.2045593,13.61899376,144.6227112,187.9822083,230.1235352,185.1425629,65.08982849,41.84292984,2.723520279,12.12343216,1.158960342,-7.176063061,21.39999962
Anaxyrus boreas,1,666.2330933,0.665111959,-9.841682434,375.4665222,11.83903313,119.8140182,235.3067932,174.7616272,111.0093918,60.42329407,31.51330376,1.415539503,10.5410471,-0.183022738,-9.14345932,21.65774155
Anaxyrus boreas,1,555.9151001,1.075698018,-9.324306488,311.186676,12.28263187,119.7723999,196.1434021,140.4939423,88.61542511,58,39.42385864,1.377009869,10.87512112,0.616350353,-8.580897331,21.60766029
Anaxyrus boreas,1,562.3662109,1.264784694,-9.187796593,307.464386,12.50715733,123.0416946,192.1987457,145.3295898,93.03403473,59,40.76524353,1.573209524,11.07189274,0.800000012,-8.488315582,21.70000076
Anaxyrus boreas,1,565.8421021,1.210371852,-9.199999809,313.9819031,12.47173405,121.6606903,196.9524384,143.6087494,91.27865601,58,39.65398026,1.510664105,11.01027393,0.800000012,-8.399999619,21.66606903
Anaxyrus boreas,1,643.4960938,0.815079153,-9.456842422,351.0011902,11.96338558,118.2318268,220.5707855,160.2423706,108.4113693,59.38373566,34.76426697,1.093061924,10.56148434,0.388889819,-8.67005825,21.45297241
Anaxyrus boreas,1,555.0488892,3.199792624,-7.393588543,368.0926819,14.30000019,138.8956299,234.974884,156.954483,56.02270126,53,38.90816498,3.799999952,13.09976292,2.588235378,-6.787611961,21.69977379
Anaxyrus boreas,1,681.4260254,0.206911057,-10.19314003,380.9362488,11.20831013,116.0931168,237.0747833,177.760025,115.8165817,62,29.79600716,0.907909155,9.938462257,-0.736876309,-9.467176437,21.37636948
Anaxyrus boreas,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaxyrus boreas,1,667.0054932,3.452904463,-6.684471607,295.0877991,15.13548851,154.9603882,166.6663055,200.3639069,158.1626282,61.63629532,51.22052765,4.048161507,13.57515621,2.448611975,-6.263619423,21.84007454
Anaxyrus boreas,1,560.5142822,2.78368783,-7.516276836,268.4096069,14.0830574,149.2186279,156.77742,137.5300751,116.7103424,64,52.53264236,3.040208817,12.67427826,2.172497988,-6.718232632,21.60000038
Anaxyrus boreas,1,532.2139893,2.343767881,-8,291.851593,13.96886349,134.6808167,176.7432251,159.457016,87.20475006,57.2057457,47.91761017,3.080097437,12.56929207,1.368712783,-7.699999809,21.96830177
Anaxyrus boreas,1,514.0371704,1.65520072,-8.87761879,296.2826233,13.21425533,125.1469345,183.2333069,143.2684326,83.84725952,57.18173599,44.66004944,2.399553061,11.85520172,0.73231113,-8.427004814,22.05836105
Anaxyrus boreas,1,526.4750977,0.815040946,-9.503418922,295.0341797,11.90002251,115.2255936,193.7521362,132.1912689,81.75548553,58,40.39753342,1.079968572,10.49633312,0.414577216,-8.683029175,21.41674805
Anaxyrus boreas,1,645.0984497,0.080156565,-10.11988926,355.9058533,11.03581715,112.8977127,224.0961914,162.4110718,105.6856155,61.62797928,31.60943031,0.344575942,9.635856628,-0.420409679,-9.317922592,21.15425301
Anaxyrus boreas,1,533.5548706,0.89244312,-9.482445717,298.5420837,11.99557686,116.1641006,193.8862457,134.1292572,83.47135925,58,40.13065338,1.113670945,10.59210587,0.491210967,-8.61822319,21.48171043
Anaxyrus boreas,1,637.6442261,2.33850193,-8.050578117,383.6461792,13.58598995,133.0700531,239.5876312,180.1054535,82.86405182,56.0700531,35.43315887,2.892994642,12.28364754,1.687717199,-7.599999905,21.59299469
Anaxyrus boreas,1,529.3001709,3.234098911,-7.56602478,322.6622314,14.63487625,142.0013428,202.0017242,155.0011597,68.00016785,55,45.47588348,3.83545661,13.2356596,2.734109879,-6.966486454,22.1999836
Anaxyrus boreas,1,543.6998901,3.387677431,-7.31724453,333.1025696,14.77284813,142.8869324,209.6537476,157.4202728,68.14105988,54.14940643,44.28995132,4.07356596,13.3877964,2.976170778,-6.728440285,22.10047531
Anaxyrus boreas,1,500.6681213,2.099999905,-8.650730133,300.0307922,13.40834999,130,188.9940186,132.3061981,69.34299469,56,44.76152802,2.647197962,12.11061859,1.600000024,-8,22.10000038
Anaxyrus boreas,1,718.7948608,-0.382666945,-10.58380508,398.2562256,10.51304245,111.32444,246.9465332,187.1367798,120.7329407,63.00643921,26.33711052,0.216080233,9.308049202,-1.183967829,-9.782063484,21.01699448
Anaxyrus boreas,1,500.2828369,2.09069562,-8.609365463,300.4201965,13.44865417,129.9576263,188.2823944,130.804184,69.51753235,56.06968689,44.88430405,2.68175149,12.14396858,1.589926362,-8.006967545,22.10000038
Anaxyrus boreas,1,560.3529053,2.701520205,-7.781558514,344.0032959,14.10151672,136.316803,215.117569,160.3935547,68.11011505,56.00483704,40.96294785,3.315316439,12.72754192,2.020054102,-7.284643173,21.90763855
Anaxyrus boreas,1,644.7549438,0.348145425,-9.978382111,351.8340454,11.41453648,110.7630081,219.3199158,170.4103241,104.8443527,58.34521103,32.80583572,0.61279577,10.01139259,-0.084803492,-9.07582283,21.38920975
Anaxyrus boreas,1,555.7704468,2.062615871,-8.695644379,324.8469543,13.39858437,130,202.8338318,140.6279297,85.11281586,56.80078888,41.6397438,2.598237991,12.08790874,1.559801221,-8.020532608,22.10000038
Anaxyrus boreas,1,534.1583252,3.397814751,-7.421241283,323.9046631,14.79959393,144.7242584,202.2000275,156.6997528,68.71669769,55,45.72931671,4.075115681,13.39847469,2.974148512,-6.825881004,22.20000076
Anaxyrus boreas,1,482.2691956,3.299999952,-7,259.4657288,14.69999981,150.7103119,155.6555634,126.0236053,83.81945038,60.36726761,56.63440704,3.799999952,13.19999981,2.5,-6.463273048,21.70000076
