Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Anaxyrus boreas,1,1123.19519,15.54946136,8.99643898,46.92953873,22.09643936,343.4242554,10,263.4704285,648.9568481,55.45986938,468.2178345,16.74946213,21.44697952,14.35045528,9.64947319,13.05398083
Anaxyrus boreas,1,1879.915649,12.15252781,7.523079395,200.3739929,16.78215981,338.7049866,68.71827698,520.1491089,864.7398682,68.8718338,84.05024719,13.17691231,16.18200302,11.01156807,8.135877609,9.297556877
Anaxyrus boreas,1,708.3796997,17,7.900000095,52,26.70000076,342,18,186.6411438,387.4005127,57,513.0935669,17.89999962,25.39999962,15.89999962,8.899999619,18.79999924
Anaxyrus boreas,1,598.3842163,15.39999962,10.1162138,23.1338501,20.5,353.7240295,6.162648678,149.2939911,343.8364563,60,890.9180298,16.63708496,19.89999962,14.4190855,10.63708401,10.38358021
Anaxyrus boreas,1,710.7323608,15.03363895,10.09604359,27.2595253,19.38588905,345.6055908,5.06524229,190.4927216,393.7142639,57.02204895,722.041687,16.52865601,18.67969322,14.39359665,10.69345188,9.29304409
Anaxyrus boreas,1,1333.302979,14.46522236,8.92976284,64.80142212,20.08016586,345.3138428,14.58006191,333.8648682,729.3562012,60,311.327301,15.7778635,19.4581337,13.1579361,9.387096405,11.1584816
Anaxyrus boreas,1,684.4907837,15.02310944,9.259666443,33.26791,21.90019417,356.864624,7.634404659,189.6310425,373.7248535,71.13394928,659.8820801,16.88640594,20.90019798,12.80957317,9.50957489,12.64049435
Anaxyrus boreas,1,541.0422363,5.457765579,-4.738227367,230.9029846,16.78182983,185.6240234,135.3156128,115.2785187,138.8105621,64.29967499,72.72194672,5.304275513,15.38694572,5.379675865,-4.120730877,21.52417946
Anaxyrus boreas,1,1415.013794,14.20371819,8.189945221,67.84728241,20.6309948,345.5320129,17.45793915,343.0325928,807.0858154,62.8214798,306.3048096,15.72157288,19.88147736,12.62156105,8.589909554,12.4237709
Anaxyrus boreas,1,345.8963928,18.19441795,8.699999809,21,28.39999962,346,4.823343754,101.546669,186.0467377,56,1354.319458,18.97711754,27,17.09430885,9.757843971,19.70000076
Anaxyrus boreas,1,648.0896606,16.16677856,9.788603783,20.13916206,23.67213821,336.0976868,1.082590938,173.4335175,370.6801758,50.24266052,1159.298706,17.46756554,22.66819763,14.1855526,10.26244736,13.90424824
Anaxyrus boreas,1,652.3798218,15.39180183,9.373251915,20.39665794,22.25836754,350.9175415,5,159.8117981,383.9996033,62,1107.373169,16.89179611,21.28951836,13.55221272,9.760385513,12.88625145
Anaxyrus boreas,1,528.2564087,16.89999962,8.600000381,23,24.79999924,348.4862976,7,123.2564316,314.2564392,57,1083.542603,18.06570244,24.01687431,16.10000038,9.399999619,16.27350235
Anaxyrus boreas,1,572.8382568,17,8.600000381,22.78825188,25,348,6,131.2118988,345.312561,56,1109.937134,18.10000038,24.20000076,16.10000038,9.399999619,16.39999962
Anaxyrus boreas,1,550.210083,16.89999962,8.5,31.52930641,25.10000038,352,7.942669392,142.1564789,308.7094116,60,797.3112183,18,24.1583271,16,9.5,16.57369423
Anaxyrus boreas,1,729.3344727,16.60004234,10.32660198,19.73449516,24.78623199,356.1378479,2,171.61763,478.8106995,62.17069626,1272.661377,18.34155273,23.08641052,14.26807976,10.71168995,14.40570545
Anaxyrus boreas,1,1219.993042,14.84043312,8.740430832,53.12305832,21.3404789,351,14,288.1575317,706.8651733,62.67172241,403.2954102,16.4327755,20.58545303,13.18017292,9.232827187,12.60763073
Anaxyrus boreas,1,805.4769897,17.10000038,8,56.26305771,26.7161293,344.211792,18,218.1212006,435.2458496,58,473.3650818,18.11572647,25.41558266,15.80000019,8.899999619,18.77688217
Anaxyrus boreas,1,957.4459839,17.08606911,8.243114471,65.0421524,26.85223961,347.4298096,19.9074688,261.2978516,517.7441406,59.88418579,415.6484375,18.32679367,25.43835831,15.59516811,9.040655136,18.59783173
Anaxyrus boreas,1,564.5599976,15.14815331,8.877146721,23.58810234,21.41221237,348.3618774,6,138.3045654,331.5776367,61.06925583,920.460144,16.48948669,20.66038513,14.03810692,9.389881134,12.52083302
Anaxyrus boreas,1,478.0598145,14.58181667,10.5,21.18157578,18.17336655,348.0322571,6,132.8520203,264.9616089,59.21556473,854.8977051,16.11267471,17.4726181,13.68698883,10.99946308,7.69190073
Anaxyrus boreas,1,1412.019165,10.3586235,3.558641911,302.3916931,17.89999962,307.1221313,142.7135315,316.7948914,508.4057922,73,59.21482849,10.62520885,17,9.757835388,4.057901382,14.31643963
Anaxyrus boreas,1,166.7260437,18.94547462,9.055846214,10,29.24556732,348.455719,1.455697298,52.40842056,87.37637329,57,3018.988037,19.85114098,27.94550323,17.89999962,10.14557362,20.20000076
Anaxyrus boreas,1,621.2729492,14.19276905,7.785122395,21.99801636,22.70008659,313.0664063,3,138.2271576,404.1472168,55.07812119,1044.588745,15.89253139,20.89237976,12.08440018,7.999980927,14.98956203
Anaxyrus boreas,1,971.862854,15.5,10.69999981,39.2024231,20.90012741,358.0016174,10.20296764,242.8298035,569.0621338,63.00032425,539.1348267,17.20000076,20.20000076,13.69996738,10.82013321,10.27788067
Anaxyrus boreas,1,1339.431519,13.80609417,6.327189445,104.8745117,22.98144913,321.587616,33.89169312,335.5673523,723.137146,57.15039444,218.5416718,14.79628086,21.49833298,12.01600552,6.927832127,16.63012123
Anaxyrus boreas,1,1662.403687,9.188774109,1.746470809,379.5528564,17.58861923,290.1646423,190.473587,377.911499,576.8987427,76.18505096,46.44495392,9.439912796,16.43059731,8.579263687,2.338801861,15.79194069
Anaxyrus boreas,1,1160.620728,14.97913933,10.08965206,49.08069611,20.69075203,358.8355713,14.20685863,295.3018188,669.3483887,66.99048615,421.8670959,16.86851883,19.7853756,12.89146519,10.17932224,10.60326767
Anaxyrus boreas,1,497.6829834,14.09575653,10.60000038,19.91741562,17.05326843,350.1252747,6,136.3176727,279.9260559,63.1252861,850.6832886,15.55780697,16.44942474,13.36586189,11.0082407,6.452188015
Anaxyrus boreas,1,1435.970703,14.58691216,5.776021004,121.7056656,24.62981415,320.3024292,36.14902878,348.2970581,750.4902344,57.16400146,202.5952301,15.67348957,23.01396179,12.80115414,6.875174999,18.82937813
Anaxyrus boreas,1,394.4884033,16.13221931,9.322340012,9.900758743,23.59667015,323.092865,2,102.8048096,237.5464172,45.12602234,2306.151123,17.24474907,22.6422081,14.73244858,9.97676754,14.3075304
Anaxyrus boreas,1,293.1542053,18.20000076,8.899999619,18,28.20000076,345.401062,3,88.40103912,155.358429,54,1575.615479,19.03991318,26.79999924,17.18962288,9.899999619,19.29999924
Anaxyrus boreas,1,1475.402344,9.502423286,2.797553062,242.5511322,17.50103188,291.3495789,122.6404495,279.9820251,605.0430908,72.3293457,72.31598663,9.397963524,16.60000038,8.802829742,3.233964682,14.70201492
Anaxyrus boreas,1,866.0577393,12.86814404,4.063772678,90.37250519,23.16822052,287.1580811,32.06322479,216.2379303,451.89505,54.23588562,257.1525879,13.63915634,21.53976822,11.34032536,5.14745903,19.18685913
Anaxyrus boreas,1,1747.936401,10.53662109,2.94788456,365.1913147,18.74704361,303.0618591,180.5410767,397.7056885,608.5705566,73.03538513,51.29508972,10.74390602,17.74385452,10.03197289,3.542270899,15.80000019
Anaxyrus boreas,1,1089.085693,15,8.982851028,41.17209625,20.39999962,340.8181458,8.222028732,251.7871246,635.3178101,55.17009354,494.8113708,16.20000076,20,14.08295631,9.682990074,11.35839844
Anaxyrus boreas,1,754.5986328,15.39999962,10.33173561,29.72957611,20.53173637,354,8.317358971,190.1587219,429.6352234,60,687.9043579,16.79999924,19.97045517,14.06826401,10.80000019,10.19003296
Anaxyrus boreas,1,528.065918,16.89999962,8.5,23,24.91189194,348,7,124,312.9469299,57,1066.83252,18.10000038,24.20000076,16.10000038,9.394691467,16.41189194
Anaxyrus boreas,1,1132.996582,15.12762165,9.054200172,44.989048,21.59748459,351.2657471,12.125741,263.1029053,662.9200439,61.86469269,479.2005615,16.72761154,20.82359886,13.54110432,9.440104485,12.53120518
Anaxyrus boreas,1,666.8867798,16.62583351,10.96315002,14.60184574,24.02601051,346.9733887,1,155.0907593,438.759491,51.85666275,1648.475952,17.92340469,22.68611717,14.52597237,11.3218708,13.06197643
Anaxyrus boreas,1,668.9332275,17.08636665,7.900000095,51,26.70000076,342.4256592,18,173.6451874,365.3841858,57,522.6075439,17.89999962,25.39999962,16,8.899999619,18.79999924
Anaxyrus boreas,1,1681.37207,9.013151169,1.638923764,385.3239136,17.44047737,287.1886902,192.5066681,381.2121277,584.6395264,76.21581268,45.34983063,9.31447506,16.29626083,8.383008003,2.229752302,15.78111458
Anaxyrus boreas,1,1249.513184,9.615419388,3.080150127,200.1500397,17.69662476,299.3919983,98.02558136,249.0808716,535.2888794,75.79115295,88.46001434,9.815272331,16.71507835,8.627049446,3.339562416,14.61313534
Anaxyrus boreas,1,1622.36853,14.07717991,5.281227589,131.1859741,24.07549286,315.9591064,39.88550568,404.3049316,841.7294312,57.76259232,184.0162506,15.07734299,22.47690773,12.28389072,6.399456978,18.75940323
Anaxyrus boreas,1,1196.899292,11.67498589,7.951457977,119.7640533,15.4512825,343.7503967,37.75000381,329.3633423,574.2270508,73.48612976,129.0244293,12.75138664,14.72636986,10.62645435,8.600000381,7.475105762
Anaxyrus boreas,1,1743.217773,10.38348389,3.116461039,369.692627,18.48343468,299.509613,179.3506317,400.2550354,621.3804932,72.00686646,50.10121918,10.63371372,17.41649055,9.733906746,3.684007168,15.36734867
Anaxyrus boreas,1,829.4568481,16.27500153,8.194892883,55.83217239,25.69472694,341.9471741,12.05278301,238.8784027,439.0454712,58,461.545166,17.48004532,24.18023872,14.57438469,8.853727341,17.5
Anaxyrus boreas,1,899.8170776,12.97986603,4.071619034,92.41762543,23.39999962,288.7113037,34.70881271,220.4991302,467.8991699,55,253.2871399,13.72083187,21.70000076,11.32095051,5.120708942,19.37970161
Anaxyrus boreas,1,684.8187256,14.93894672,9.127672195,34.02210999,21.91584778,356.4319153,8.113158226,189.9545898,373.0894165,71.5905304,645.2398682,16.82533264,20.89074898,12.66837692,9.368273735,12.79011917
Anaxyrus boreas,1,824.3565674,16.09364319,7.900000095,55.49539185,25.60000038,338.6625977,10.39684391,239.5722656,433.3547058,58,459.953064,17.11289215,24.16688728,14.31317902,8.600000381,17.74487686
Anaxyrus boreas,1,805.6466064,7.774007797,-2.043651581,212.1852875,19.05701256,209.9064941,114.5897675,202.257019,272.9880676,61,89.9127121,7.557012558,17.65630913,7.457012653,-1.525372267,21.10000038
Anaxyrus boreas,1,708.1348267,15.12468338,8.696634293,30.31493378,23.00291061,352.4854736,5.485460758,180.3209534,411.860321,68.54920959,757.9227905,16.87490654,21.9029808,12.79655647,8.966778755,14.28595448
